"","body.of.a.man.found.at.the.bus.stop.in.the.center.of.Chelyabinsk","sentiment"
"1","Chelyabinsk can not smoke in restaurants and markets Siyun","negative"
"2","appointed head coach of the tractor curry kiwi","negative"
"3","passenger plane landed in Chelyabinsk died of toxic poisoning","negative"
"4","family mothers died in Korkino trebuetmillionov rubles","positive"
"5","Chelyabinsk region will fall to the federal project to build affordable housing","negative"
"6","missing in Chelyabinsk schoolgirl held captive","positive"
"7","Chelyabinsk region is wanted for beating Chinese old woman","negative"
"8","Court dismissed former vitsegubernatoru Victor Timashova in commutation","negative"
"9","prosecutors check entrepreneur who left the bear at cafes Sim","negative"
"10","Weekend in Chelyabinsk see a new meteor rain","negative"
"11","skater Maxim Kovtun called in sports company","negative"
"12","communal NADH closed street in the Leninsky district","negative"
"13","first grader fell in intensive care after a collision at the crossroads","negative"
"14","Evgeni Malkin came to the World Cup","negative"
"15","Dubrovsky promptly instructed to understand the reasons for the failure kaslinskim","negative"
"16","Chelyabinsk nearly caught a pedophile who attacked old girl","negative"
"17","a flock of crows attacked while walking on kindergartners","negative"
"18","SUSU expert nazvalprichiny road crash in the center of Chelyabinsk","negative"
"19","broken wires to fire in the northwest of Chelyabinsk got on video","negative"
"20","students be allowed to retake the exam twice","positive"
"21","abandoned building in Chelyabinsk completely destroy or rebuilt","negative"
"22","Chebarkul condemned three guys rob truckers namilliona","negative"
"23","Chelyabinsk residents took flight path ufo","negative"
"24","head coach of the tractor will present this week","negative"
"25","Chelyabinsk vneslipredlozheny program safe childhood","negative"
"26","invalidastmatik knocked ticket to stay through the prosecutor's office","negative"
"27","for the failure of chains with chelyabinok detained nonresident boys","negative"
"28","owners of abandoned cars in Chelyabinsk district razyschut","negative"
"29","in the northwest of Chelyabinsk Tripod clipped the power","negative"
"30","Chelyabinsk airport because of fog not prinyalsamoletov","negative"
"31","parents flew to her daughter hit by a car in Greece","negative"
"32","gazelle overturned in an accident on the highway M got on video","negative"
"33","year-old boy was arrested for arson and extortion hijacking cars","negative"
"34","Chelyabinsk bloggers have published stories of their relatives in the Islands","negative"
"35","road near the bridge collapsed in the center of Chelyabinsk","negative"
"36","all the money in the world requires the victim of a dog bite","negative"
"37","movie marathon to celebrate Day of the Slavic culture in Chelyabinsk","negative"
"38","voditelbespravnik died after car fire","negative"
"39","The Ninth Wave Aivazovsky presented during the night in the museum Satke","negative"
"40","Driver shot down a man spotted near Chelyabinsk in the neighboring region","negative"
"41","graduate of the tractor moved to Magnitogorsk Metallurgical","negative"
"42","stabbing at the bar one was killed and two injured","negative"
"43","Showers in the Chelyabinsk region until Tuesday","negative"
"44","child fell from a window in an apartment on the seventh floor grandmother","negative"
"45","family died in capsized under Kunashak inomarke","negative"
"46","and you're subscribed to email newsletter","negative"
"47","aboard the plane landed at the airport passenger died Chelyabinsk","positive"
"48","Miassa residents complain of graphite emissions near highway TURGOYAKSKOE","negative"
"49","Verhneuralsk area disappeared in a herd of horses stoimostyutysyach rubles","negative"
"50","Chelyabinsk region hail","negative"
"51","Court banned the show free online game of thrones and escheserialov","negative"
"52","today in the park Gagarin opened a reading room in the open air","positive"
"53","Ozersk year-old man jumped from the thirteenth floor","negative"
"54","year-old boy hanged himself in the village under KARTALY","negative"
"55","Boris Dubrovsky solve the problem of small villages together with the heads of","negative"
"56","POLICE teammates arrested for kidnapping a woman","negative"
"57","hockey metallurgist provezut Gagarin Cup for Magnitogorsk","negative"
"58","Chelyabinsk made identikit pedophile schoolgirl dragged into the entrance","negative"
"59","Chelyabinsk face fines for slivkubometrov concrete urban forest","negative"
"60","South Urals sobralitysyach rubles for treatment of a woman hit by a car in Greece","negative"
"61","drowned in Magnitogorsk old boy jumped into the river for the ball","negative"
"62","aviadeboshir tore flight from St. Petersburg disappeared in Chelyabinsk","negative"
"63","Yuzhnouralets died tearing away from the broken bridge in the turbulent river","negative"
"64","discount flight to Simferopol open from chelyabinskaiyunya","negative"
"65","accused of murder on Hare Island will judge postatyam","negative"
"66","sobakagermafrodit got to study Chelyabinsk studentamveterinaram","negative"
"67","vitsegubernator former became one of the leaders of Russian Copper Company","negative"
"68","hockey coach to celebrate a birthday tournament in Chelyabinsk","positive"
"69","Chelyabinsk regime introduced high fire danger","negative"
"70","traffic police zaplatittysyach for forgiving the offender","negative"
"71","students illegally forced to clean up illegal dumps","negative"
"72","polkomandy Czech team at the world hockey championship crippled diarrhea","negative"
"73","fisherman reported the drowned schoolboy saved two more boys","positive"
"74","Stillavin discussed with Sergei Davydov possible emergence of paid parking in Chelyabinsk","negative"
"75","near the village of sultry fired electric","positive"
"76","the South Urals declared a storm warning because of thunderstorms and hail","negative"
"77","man's body fished out of the river in the center of Chelyabinsk","negative"
"78","Chelyabinsk gone uchenitsaklassa","negative"
"79","large hail can pass today in the Southern Urals","negative"
"80","South Urals will be able to call the police via mobile app","negative"
"81","woman died under the wheels of a car hitting on a zebra in Chelyabinsk","negative"
"82","Galleries of the South Urals are free to work in Museum Day","negative"
"83","year-old girl drowned while swimming with his brother","negative"
"84","arsonists Mazov service station got on video","negative"
"85","Dubrovsky announced his intention to run for governor","negative"
"86","man burned alive by his wife in his own bed","negative"
"87","passenger car flew under the ointment on the track has died","negative"
"88","Chelyabinsk region gets rid of debts under the guidance Dubrovsky","negative"
"89","arrange well in school Zlatoust help firefighters","negative"
"90","Chelyabinsk faces up repost messages for the right sector","negative"
"91","woman accidentally pulled the child a fighting dog","negative"
"92","grenades found in the center of the garage cooperative in Chelyabinsk","negative"
"93","Zlatoust operate Vladimir Putin instructed the evaluation of social services","negative"
"94","hatchet man beheaded his wife at her request","negative"
"95","Cadet School in Zlatoust received weapons lab","negative"
"96","card secure childhood submitted on behalf of Chelyabinsk Dubrovsky","negative"
"97","caught fire at the tram stop zlatoustovtsy videotaped","positive"
"98","zemz performs social obligations after the promise given Dubrovsky","negative"
"99","fire truck saved part in the fire service station in Chelyabinsk","positive"
"100","teacher brutally beat the baby in the manger","negative"
"101","police woman kidnapped with his comrades to take away her apartment and car","negative"
"102","metallurgist striker scored the winning goal at the World Cup Russians","negative"
