"","text.X","text.text"
"1",1,"Труп мужчины нашли на остановке в центре Челябинска http://t.co/EuDKrLSrpg http://t.co/MHGsk2b9cj"
"2",2,"Челябинцы не смогут курить в ресторанах и на рынках с 1 июня http://t.co/TBgvbQFLi2 http://t.co/awz96JEQdn"
"3",3,"Главным тренером «Трактора» назначен Карри Киви http://t.co/Gdg8DTITIo http://t.co/ANOAbBCeON"
"4",4,"Пассажир самолета, приземлившегося в Челябинске, умер от токсического отравления http://t.co/5MzfKGcfIj http://t.co/uErqJiMex5"
"5",5,"Семья роженицы, погибшей в Коркино, требует 6 миллионов рублей http://t.co/zDB4JOnDYK http://t.co/HnLc0tmA0V"
"6",6,"Челябинская область попадет в федеральный проект по строительству доступного жилья  http://t.co/02gEA9ShQm http://t.co/kK8hGq4BFf"
"7",7,"Пропавшую в Челябинске школьницу удерживали в неволе http://t.co/8TiD1ElWBr http://t.co/veN7oGDNvw"
"8",8,"В Челябинской области разыскивают китайца за избиение 44-летней женщины http://t.co/9CXAMbyYCD http://t.co/V6HvNfRMCJ"
"9",9,"Суд отказал бывшему вице-губернатору Виктору Тимашову в смягчении приговора http://t.co/UQp5urToaj http://t.co/hnntAlryyX"
"10",10,"Прокуратура проверит предпринимателя, оставившего медведя у кафе под Симом  http://t.co/vv89CnCDuc http://t.co/vnI9yNsmer"
"11",11,"В выходные челябинцы увидят новый метеоритный дождь http://t.co/ff1dlfUIeO http://t.co/amuQxGo8Hq"
"12",12,"Фигуриста Максима Ковтуна призвали в спортивную роту  http://t.co/mXK971e8pN http://t.co/Azyq0acwsU"
"13",13,"Коммунальщики на 2 дня закроют улицу в Ленинском районе http://t.co/zLPmFWTksk http://t.co/8DcgzAiPGn"
"14",14,"Первоклассница попала в реанимацию после наезда на перекрестке http://t.co/hWUkGHNI00 http://t.co/1GyCh2VyJd"
"15",15,"Евгений Малкин приехал на чемпионат мира http://t.co/mllEhAdxa8 http://t.co/ckjQATDjq1"
"16",16,"Дубровский поручил оперативно разобраться с причинами «провала» на Каслинской http://t.co/6VzNIMlf1x http://t.co/pIkqIyp0ZL"
"17",17,"Челябинцы чуть не поймали педофила, напавшего на 10-летнюю девочку http://t.co/PlNIo3uOo0 http://t.co/BBcGrcdj4U"
"18",18,"Стая ворон напала на детсадовцев по время прогулки http://t.co/nFzdCFepDm http://t.co/cILhKGRij0"
"19",19,"Эксперт ЮУрГУ назвал 3 причины обвала дороги в центре Челябинска http://t.co/bUOkPA99pt http://t.co/LixfX9gRUH"
"20",20,"Обрыв проводов с возгоранием на северо-западе Челябинска попал на видео http://t.co/bDSa37BQUR http://t.co/Vrg71YhwZG"
"21",21,"Школьникам разрешат дважды пересдавать ЕГЭ http://t.co/ZT9RAB5v6p http://t.co/zhRb7qLGM7"
"22",22,"Заброшенные здания в Челябинске полностью разрушат или перестроят http://t.co/53rUxo8oDx http://t.co/3blHGGeg4O"
"23",23,"В Чебаркуле осудили трех парней, обворовавших дальнобойщиков на 1,7 миллиона http://t.co/ODYnrAVPvy http://t.co/nlS7R9gw8x"
"24",24,"Житель Челябинска снял траекторию полета НЛО http://t.co/fyF5ZrKCcY http://t.co/fM3aYFiT1A"
"25",25,"Главного тренера «Трактора» представят на этой неделе http://t.co/T4hur2fkt8 http://t.co/01pS5umZ3X"
"26",26,"Челябинцы внесли 349 предложений по программе безопасного детства http://t.co/d0LiMA9VHL http://t.co/7pOT4VKXgP"
"27",27,"Инвалид-астматик «выбил» путевку на отдых через прокуратуру http://t.co/tReNN58Uqf http://t.co/Mqq8IYfjTg"
